a bit of,一点儿
a bunch of,一群；一束；一堆
a burst of,一阵
a case in point,恰当的例子；典型的例子
a chunk of,一大块；大量的
a couple of,一对；几个
a dozen of,一打
a fraction of,一部分
a great deal of,大量
a handful of,火少数；一小撮
a host of,许多；大量
a large number of,大量的
a large proportion of,大部分的
a large quantity of,大量的
a majority of,大多数的；大部分的
a bit of,一点儿
a bunch of,一群；一束；一堆
a burst of,一阵
a case in point,恰当的例子；典型的例子
a chunk of,一大块；大量的
a couple of,一对；几个
a dozen of,一打
a fraction of,一部分
a great deal of,大量
a handful of,火少数；一小撮
a host of,许多；大量
a large number of,大量的
a large proportion of,大部分的
a large quantity of, 大量的
a majority of,大多数的；大部分的
a mass of,大量的
a mix of,......的混合
a multitude of,许多；大量
a portion of,......的一部分
a range of,一系列；一些；一套
a sense of,一种......的感党
a series of,一系列
a set of,一套；一组；一副
a small fraction of,一小部分
a small proportion of,小比例
a small segment of,一小部分
a sort of,一种；有点儿
a string of,一串；一系列
a total of,总共
a variety of,各种各样的；形形色色的；
a wealth of,很多；大量的
abandon oneself to,沉溺于
abide by,恪守；遵守
abound in,富于；盛产
above all,首先；最重要的是
absence of mind,心不在焉
access to,通向......的入口；接近
accord with,与......相符合；与......相一致
account for,对......做出解释；（数量、比例上）占
accuse sb. of,因......而谴责某人
accustom...to...,使......习惯于......
act as,担当
act on,对......起作用；接照......行事
adapt (oneself) to,使（自己）适应
add to,增加；增添；补充
add up to,合计；总计
addict oneself to,对......上瘾；沉迷于
adhere to,附着；遵守；坚持
adjust to,调整以适应
afford to do sth.,负担得起做某事
after all,毕竟
agree on/upon,对......取得一致意见
agree to do sth.,同意做某事
ahead of,在......之前；早于
aim at,瞄准；对准；旨在；力求
aim to,打算；目标在于......；以......目
align with,与......结盟；与.......一致
all at once,突然；同时；一起
all but,几乎；差一点；除......之外都
all in all,总而言之
all over again,从头开始；重新
all year round,全年
allow for,考虑到；顾及；将......计算在内
allow...to...,允许......做......
allude to sb./sth.,暗指；间接提到
along with,沿（顺）着；连同......一起；与......一道；除了......
amount to,总计；总数为
amounts of,大量的
an abundance of,大量的
an account of,描述；记录
an array of,一系列；大量；一排
and so forth,等等；诸如此类
anything but,除......以外任何事物都；根本不
apart from,远离；除......之外
appeal to,对（某人）有吸引力；向......上诉；恳求
approve of,赞成；批准
argue against,反对
arise from,由......引起；起因于
around the corner,即将来临；在附近
as...as possible,尽可能
as a consequence,因此；结果
as a matter of fact,事实上
as a rule,通常；照例
as a whole,总的来说；作为整体
as follows,如下
as for,关于；至于
as if/though,好像；仿佛
as long as,只要；如果；既然
as opposed to,与......截然相反；相对于
as regards,至于；关于
as soon as,一......就......
as such,同样地；本身；就其本身而论
as well,也
as well as,也；和......一样；不但......而且......
aside from,除......以外
ask...over,邀清......来家里
ask around,四处打听
assign...to...,将......分配给......；指定......给
assist in,协助；帮助
at a loss,困惑；不知所措
at all costs, 不惜任何代价；无论如何
at all events, 无论如何
at an average of,平均
at any rate,无论如何；不管怎样；反正
at cost,按成本；照原价
at distance,在远处
at ease,女逸；自由自在
at every turn,每次；处处；总是
at first glance,第一眼；乍一看
at hand,在手边；即将到来
at intervals,时时；不时；每隔一段距离（或时间）
at issue,在讨论中；有待解决
at large,详尽的；未被捕的；整个的；一般的
at last,最后；最终
at least,至少；不管怎样；无论如何
at length,最后；终于；详细地
at most,至多
at no time,从不；绝不
at odds (with),（与......）不一致；（与......）有矛盾
at once,同时；立刻
at one point,一度；在某处；在某种程度上；在某一时刻
at one time,同时；曾经；一度
at one's convenience,在某人方便时
at one's disposal,供某人使用；由某人支配
at one's expense,由某人付费
at random,胡乱地；随机地
at stake,处于危险境地；处于成败关头
at the beginning of,起初；在......的开始
at the edge of,在......的边缘
at the end of,在......的尽头；在......结束时
at the expense/cost of,以......为代价
at the forefront of,处于最前沿
at the mercy of,受......支配；受......摆布
at the outset,一开始；当初
at the thought of,一想到
at the top of,在顶部
at this point,这时候；此时此刻；在这一点上
at times,有时；偶尔
at will,随意；任意
at work,在工作；运转中；起着作用
attach importance to,重视
attest to,证明
attract one's attention,引起某人的注意
attribute...to...,将.......归因于......
back and forth,反复地；来回地
back away,不再支持：逐渐退出；退缩
back down,放弃（主张、要求、承诺等）；让步；退让
back off, 后退；放弃；让步；滚开
back up, 支持；备份；证实；往后退
bargain for, 预料到；指望；讲价
be about to do sth.,将要做某事；打算做某事
be absent from,缺席；没到场；没参加
be absorbed by,被......吸收
be absorbed in, 专心于；全神贯注于；被吸收
be accentuated by,强调；加重；由于......而显得突出
be accessible to,可接近的
be accompanied by,伴随；附有；带着；相伴而生
be accountable to,对......负有责任
be accustomed to,习惯于
be adequate for,适合；对......来说足够
be adjacent to,与.........毗连
be allocated to,分配给
be applicable to,适用于
be armed with,用......武装；装备......
be ashamed of,为......感到羞愧
be assembled by,通过......联合；聚集
be associated with,与......有关系
be attractive to,对......具有吸引力
be aware of,意识到
be based on,以......为基础
be beneficial to,对......有益
be better off,情况好转
be biased against,对......有偏见
be bombarded with,被......围攻
be born in,出生在
be born with,天生具有
be bound to,必定会；一定要
be bound up with,与......有密切关系
be capable of,能够
be certain of,对......有把握；确信
be characterized by,以......特征
be comfortable with,对......感到舒服
be compatible with,一致；适合；与......兼容
be composed of,由......组成
be comprised of,包括；包含；由......組成
be concerned about,担心；担忧；关心
be concerned with,关心；涉及
be conducive to,有利于
be confident in,对......有信心
be confronted with,面临
be conscious of,意识到；注意到；在意
be consistent with,与......一致
be content with,满足于
be correlated with,与......有关
be covered with,被......覆盖；充满.
be credited with,被誉为......；把......归功于
be critical of,对......挑剔；批判
be crowded with,挤满
be crucial to,对......至关重要
be curious about,对......感到好奇
be deemed as,被视为；被认为是
be deficient in,缺少；缺乏
be defined as,被定为
be dependent on/upon,取决于
be designed to do sth.,旨在；目的是
be determined by,由......決定
be different from,与......不同
be dissatisfied with,对......不満意
be distant from,远离
be distinct from,与......不同
be dominated by,被......统治；占主导地位
be doubtful about,怀疑
be drawn to,沉浸于；沉迷于；被......吸引
be driven by,被......驱使
be eager to do sth., 渴望做某事
be easy of access,易于接近
be eligible for,有资格的
be engaged in,忙于
be entangled in,被卷入；陷入
be enthusiastic about,热衷于；对........有热情
be entitled to,有权（或资格）做（某事）
be entwined in,与......纠缠；卷入
be envious of,羨慕；嫉妒
be equal to,与......相等；等于
be equipped with,配备......
be equivalent to,等于；相当于
be essential to,对......是不可少的
be excited about,对......感到兴奋
be exposed to,暴露于；使处于
be faced with,面临；面对......的影响之下
be familiar with,对......熟悉
be fascinated by,被......迷住
be favorable for,有利于......
be fed up with,（对......）感到厌烦
be filled with,充満......
be fond of,喜欢
be free to do sth.,自由地去做某事
be grounded in,以......为基础；以......为根据
be harmful to,对.......有害
be home to,为......的所在地
be identical to/with,与......相同
be immersed in,陷于；沉浸于；沉没于
be immune to,对......有免疫力；不受......影响
be inaccessible to,达不到的
be inclined to,倾向于......
be inclusive of,把......包括在内
be incompetent to,不能胜任
be incorporated into,使成为......的一部分；使并入
be indicative of,预示；表明
be indifferent to,对......冷漠；对......不在乎
be indispensable to/for,对......来说必不可少
be inferior/secondary to,次于
be infested with,被......感染
be innocent of, 无罪的
be interested in,对（做）......感兴趣
be interested to do sth.,有兴趣做某事
be involved in,参与；渉及
be isolated from,与......隔离开来
be junior to,年纪较......轻；职位较......低；工龄较......短
be keen on,对......有兴趣；喜爱；热衷于
be keen to do sth.,渴望做某事
be known as,以......著称
be liable for,应对......负责任
be liable to,易于......的；易患......病的
be likely to,很可能（做）
be limited to,限于；限制在
be located in,位于
be locked in, 锁住；困在
be locked up,被锁住；被关起来；被冻结
be loyal to,对......忠城
be made (up) of,由......组成
be made by,由（某人）制成
be made from,由（某物）制成
be meant to do sth.,按道理应该做某事
be named after,以......命名
be native to,原产于......
be necessary to,对......有必要
be obliged to do sth.,不得不做某事；有务做某事；被迫做某事
be obsessed with,痴迷于；迷恋
be occupied by,被......占据
be of relevance to,和......相关
be of use,有用的
be opposed to,反对
be optimistic about,对......乐观
be partial to,偏爱；偏心
be perceived as,被认为是
be plugged with,充满；塞满
be popular with,受......欢迎
be proficient in,精通
be prone to,易于......
be proud of,为......感到骄傲
be ready for,为......做准备
be ready to do sth.,愿意做某事；准备好做某事
be referred to as,被称为
be regarded as,被认为是
be related to,与.........有关
be relative to,相对于
be relevant to,与......相关
be reluctant to do sth.,不愿做某事
be resistant to,抵抗......的；对......有抵抗力的
be responsible for,对......负责；是的原因
be restricted to,被限制于
be rich/abundant in,富有；富于
be rigorous with,对......严苛
be safe from,免受......的伤害
be scheduled for,定在某时（进行）；预定于
be sensitive to,对......敏感
be sick of,厌烦
be similar in,在某方面与......相似
be similar to,与......相似
be skeptical of,对......怀疑
be skillful in,在......方面熟练；善于
be stuck in,困住；陷于
be subject to,从属于；遭受；易受......影响
be sufficient to,足以......
be suitable for,适合......的
be suited to,适合于；非常适合（做某事）
be superior to,比.......优越
be supplied with,配备
be supposed to,应该
be sure of,确信；对......有把握
be susceptible to,容易受......影响
be suspicious of,对......有疑心
be taken with,对......很感兴趣；对......很喜爱
be tempted to do sth.,受诱惑做某事；试图做某事
be threatened by,被......威胁
be tired of,对......感到厌烦
be tolerant of,能够容忍；对......宽容
be typical of,是......的特征
be unable to do sth.,不能做某事
be unfamiliar with,......不了解
be unlikely to,不大可能
be unrelated to,和......无关
be unsuited to,不适合
be used for,被用于
be used to do sth.,被用来做某事
be used to doing sth.,习惯于做某事
be vulnerable to,易受......的伤害
be weary of,对......厌煩；对......厌倦
be willing to do sth.,愿意去做某事
be worth doing sth.,值得做某事
bear witness to,证明；见证
before long,不久以后
behave oneself,举止得体；守规矩
behind one's back,背着某人；背地里
behind schedule,晚点
behind the scenes,在幕后；不公开的
believe in,信仰；信任
believe it or not, 信不信由你
belong to, 属于
benefit from,得益于
beside the point,离题；不相干
beyond doubt,无疑
beyond limits,超过界限；超越极限
beyond one's comprehension,超出某人的理解能力
bid for,努力争取；竞标求包（工程）；出价竞买（某物）
billions of,数十亿
blame sb. for sth.,因某事责备某人
biock out, 封闭
blow over,平息；被淡忘；吹过
blow up, 爆发；爆炸；放大
boast of,夸耀；炫耀
boil down to,意味着；归结为
bounce back, 反弹；迅速恢复活力
break a promise,违背承诺；失约
break apart,分开
break away (from),脱离；放弃；逃跑
break down,出故障；打倒；分解
break down into,分解成；分类
break into,破门而入；突然开始（做某事）
break off,折断；突然停止
break out,爆发；突然发生
break up,分手；破碎；结束；解散
bring about,导致；引起
bring back,拿回来；使......恢复；使......回忆起来
bring down,降低
bring forth,产生；提出
bring in,引进；生产；增加
bring up,提出；养育
brush off, 刷掉；不理睬
build into, 使固定于；使成为组成部分
build on/upon,依赖；建立于
build up,增进；加强
bulge out,凸出
bump into,碰到；撞到
burn out,烧坏；烧尽
burst into,突然闯入
burst out,冲出来；突发；大声喊叫
but for,除......以外；如果没有
buy off,贿赂；收买
by a large margin,以很大优势
by accident,偶然地；意外地
by and large,大体上；总的来说
by chance,偶然；碰巧
by contrast/comparison,相比之下；比较起来
by far, 到目前为止
by means of,用；凭借
by mistake,错误地
by nature,天生；就其本性而言
by no means,绝不；无论如何也不
by the age of,到......年齢
by the name of,以......的名；名叫......
by the time,到.......的付候
by the way,顺便提一下
by turns,轮流；交替
by virtue of,由于；凭借
by way of,经由；通过
call for,要求；呼吁；需要
call in, 召集；召来
call off,放弃；取消
call on/upon,访问；拜访；号召；呼吁
calm down,平静下来；镇定下来
can't help doing sth.,禁不住做某事；不得不做某事
can't wait to do sth.,等不及想去做某事
care for,关心；照顾
carry away,运走；使失去自制力
carry off, 夺去
carry on,继续下去：进行：开展；从事：商说同没
carry out,执行；实行；贯彻；实现；完成
carve out,雕刻出；制造出
cast doubt on,怀疑.......
catch a glimpse of,瞥见；看见
catch on,理解；明白
catch one's breath,屏息；歇口气
catch one's eye,引起某人注意
catch sight of,发现；突然看见
catch up,赶上：追上：叙旧；卷入
cater to,迎合
cease doing sth.,停止做某事
cease to,停止；终止
center on,以......为中心
chase after,追逐；追赶
check in,办理登机（或入住）手续
check out,结账后离开；检验；核查
cheer for,为......喝彩（或加油）
chew on,考虑；细想
chew up,咀嚼；毁坏；消耗
churn up,搅拌
claim to,声称；要求
clean up,清理
clear off,清除；摆脱；离开
climb up,爬上去
cling to,紧紧抓住（或抱住）；坚持
cluster around,聚集在......周围
coalesce into,凝聚成；结合
coincide with,符合；与......一致
collaborate with,与......合作
collide with,相冲突；相抵触；相碰撞
come about,发生；产生
come across,偶遇；无意中发现
come along,出现；一起来；陪伴
come down to, 归根结底
come into being,形成
come into effect,生效；实施
come into existence,成立；开始存在
come into use,开始被使用
come out of,出自；从......出来
come over,过来；顺便拜访
come through,安然渡过（难关等）
come to a halt,停住；停止
come to light,显露；真相大白
come to mind,想到；浮现在脑海
come to one's senses,苏醒过来；恢复理智
come to the point,说到要点；扼要地说
come true,实现；成真
come up against, 突然或意外碰到（困难等）
come up with,提出；想出；赶上
come upon,偶然遇见；突然产生
comment on,对......评论
commit oneself to,致力于......；献身于......
communicate with,与......沟通
compare with,与......比較
compel sb. to do sth.,强迫某人做某事
compensate for,赔偿；补偿
compete for,角逐；竞争；为......比赛
compete with,与......竟争
comply with,遵从；顺从
conceal sth. from sb.,对某人隐瞒某事
concentrate on,集中精力子......
confess to (doing) sth.,承认（做过）某事
conform to,符合；遵守；依照
contribute to,有助于；促成
control over,控制；支配；征服
convert...into/to,使转变；把......转化成
convince sb. of,使某人确信；使某人朋白
cool off,冷静下来；变凉
cooperate with sb.,与某人合作
coordinate with,使协调；配合
cope with,处理
correspond to,相当于......；符合：
couple with,与......相结合；伴随
cover...with...,用......覆盖......
cover up,掩盖：盖住
cry out for,迫切需要
cut away,切除
cut back on,削减；缩减；减少
cut down,削减；砍倒
cut into, 打断
cut off,切断；挡住
cut out,切断；删去；停止
date back to,追溯到
date from,X 追溯到；始于
deal with,处理
dedicate (oneself) to,奉献给；致力于
defend...from,保护......以免于；保卫
defend against,防卫；保卫；抵抗
depart from,离开
descend from,由......传下来；起源于
desire to do sth.,希望做某事
destine to,注定要；命中注定
determine to do sth.,决定做某事；决心做某事
develop into,发展成为
devoid of,缺乏......
devote (oneself) to,致力于；献身于
die for,渴望；切望；为了......而死
die from/of,因......而死（from 指外因；of 指内因）
die off,相继死去
die out,灭绝；消失
differ from, 不同于
differentiate from,将......区别开来
dig down,挖下去；挖掘
dig up,挖出；开垦；发现
disapprove of,不赞成
discourage sb. from doing sth.,劝某人不要做某事
discriminate against,歧视
dispense with,摒弃；省掉
distinguish...from...,区分......与......；辨别
dive into,跳入；投入；钻所
divide into,把......分成
do well in,在某方面做得好
do/try one's utmost,竭力；尽全力
doze off,打瞌睡
dozens of,几十；许多
drain away,流尽；流失；枯竭
draw one's attention to,引起某人对......的注意
draw together,聚集；靠拢
dream up,虚构；凭空想出
dress up,穿上盛装；（给......）装扮；伪装；乔装
drift off,渐渐离去；漫无目的地移动；迷迷糊糊地睡去
drill down,向地下钻；深度探讨
drill into,钻（孔）；训练（某人）掌握（某种技能、法则等）
drive away,赶走；（把车）开走；离去
drive out,驱除；消除
drive over,开车前往；开过去
drive up,抬高
drop by/in,顺便拜访
drop down,落下
drop off,减少；中途让（某人）下车
dry out,干透；变干
dry up,干涸
due to,由于
dwindle away,缩小；减少
earn one's living,谋生
eat one's words,食言
either...or...,是......或是......
eject...from......,驱逐；排出
eliminate from,从......中消除（或删去、排出）
embark on/upon,从事；着手；开始做
emerge from,自......出现；从......露出来
enable (sb.) to do sth.,使（某人）能够做某事
end up,结束；告终
engage in,从事；参与
enroll in,加入；入学
enter into,进入；讨论；成为......的一部分
envision...as,将......想象成
equip with,以......装备
even if/though,即使；虽然
even now/then,即使这样/那样；就在这时/那时
even so,尽管如此；虽然如此
every now and then,有时；不时；偶尔
evolve from,由......进化而来
evolve into,发展成；进化成
evolve out of,从......发展出来
excel in,在某方面超过；在某方面很擅长
except for,除外（不包括在内）
exclude from,把......排除在外
exempt...from,免除
expect to do sth.,期望做某事；预计做某事
expel from,驱逐出；开除；排出
eye to eye,心有灵犀
face to face,面对面地
face up to, 勇于面对（困难或问题）
fade away,渐渐消失；凋零；消瘦；憔悴
fail to,不能
fall away,背离；背叛；减弱；渐退
fall back,退却；后退
fall down,跌倒；落下
fall into,落入；陷于
fall off,X 减少；跌落
fall on sb./sth.,（责任）落在.......身上；袭击
fall prey to,成为......的牺牲品；深受......之害
fall victim to,成为......的受害者；屈服于；被降服
feed into,注入；送入；装进
feed on,以......为食
fight for,为......而战
fight off,击退；竭力避免
fight with,与......并肩战斗；为反对......而战斗；与......打架
figure out, 解決；算出；想出；理解
file for,提出；申请
fill out,填写；填充
fill up,（使）填满；装满
find fault with,抱怨；找碴；挑剔
first and foremost,首先
fish for,摸索；搜寻
fit in/into,适应；适合
fit out with,向......提供（或配备）所需的东西
flag up,标记出
flash back to,回想起
flatter oneself,自以为是；自鸣得意
focus on,集中于
for a while,暂时；片刻
for fear of/that,生怕；以免
for free,免费
for instance,例如
for one thing,首先；一方面
for one's sake,为了......的缘故；为了......的利益
for sale,出售；待售
for the benefit of,为了......的利益
for the first time,第一次；首次；开始
for the purpose of,为了......目的
for the sake of,为了......起见；看在......的分上
freeze over,冻结；使......凝固；冰封
frighten away,吓跑；吓走
from one's point of view,从某人的角度看；根据某人的观点
from the bottom up,从下到上
from the perspective of,从......的角度
from the standpoint of,从......的角度
from time to time,时不时；偶尔
fulfill one's pledge,履行诺言
function as,起......的作用；具有......的功能
gain control of,控制
get into the habit of,养成......的习惯
get involved,介入；参与
get lost,迷路
get on with,继续做
get over,克服；（从病中）恢复过来
get rid of,摆脱；除去
