a bit of,[ə bɪt əv],一点儿,"Counselor So it's a bit of a culture shock for you? Being one of 15,000 students on a big campus in an unfamiliar city"
a bunch of,[ə bənʧ əv],一群；一束；一堆,I am supposed to be driving a bunch of them to the zoo tomorrow
a burst of,[ə bərst əv],一阵,
a case in point,[ə keɪs ɪn pɔɪnt],恰当的例子；典型的例子,
a chunk of,[ə ʧəŋk əv],一大块；大量的,
a couple of,[ə ˈkəpəl əv],一对；几个,"Once you were in the house, there would be one main room and a couple of small rooms for storage"
a dozen of,[ə ˈdəzən əv],一打,
a fraction of,[ə ˈfrækʃən əv],一部分,"When researchers look really carefully at the DNA in Chromosomes though, they were amazed, we all were, to find that only a fraction of it, maybe 20-30%, converts into meaningful genetic information"
a great deal of,[ə greɪt dil əv],大量,"[E] It is now believed that the process of colonization required a great deal of skill,  determination, and planning and could not have happened by chance"
a handful of,[ə ˈhændˌfʊl əv],火少数；一小撮,"Exhibitors, however, wanted to maximize their profits, which they could do more readily by projecting a handful of films to hundreds of customers at a time (rather than one at a time) and by charging 25 to 50 cents admission"
a host of,[ə hoʊst əv],许多；大量,Yet this most fundamental standard of historical periodization conceals a host of paradoxes
a large number of,[ə lɑrʤ ˈnəmbər əv],大量的,It allows researchers to observe the growth of a large number of plants simultaneously
a large proportion of,[ə lɑrʤ prəˈpɔrʃən əv],大部分的,"Although a small proportion of the total population, this perhaps had a massive local impact when a large proportion of the young men were removed from an area"
a large quantity of,[ə lɑrʤ kˈwɑntəti əv],大量的,This topic asks you to assess the value of the access to a large quantity of information that the Internet provides us with these days
a majority of,[ə məˈʤɔrəti əv],大多数的；大部分的,"A maritime code known as the Consulate of the Sea, which originated in the western Mediterranean region in the fourteenth century, won acceptance by a majority of sea goers as the normative code for maritime conduct; it defined such matters as the authority of a ship's officers, protocols of command, pay structures, the rights of sailors, and the rules of engagement when ships met one another on the sea-lanes"
a bit of,[ə bɪt əv],一点儿,"Counselor So it's a bit of a culture shock for you? Being one of 15,000 students on a big campus in an unfamiliar city"
a bunch of,[ə bənʧ əv],一群；一束；一堆,I am supposed to be driving a bunch of them to the zoo tomorrow
a burst of,[ə bərst əv],一阵,
a case in point,[ə keɪs ɪn pɔɪnt],恰当的例子；典型的例子,
a chunk of,[ə ʧəŋk əv],一大块；大量的,
a couple of,[ə ˈkəpəl əv],一对；几个,"Once you were in the house, there would be one main room and a couple of small rooms for storage"
a dozen of,[ə ˈdəzən əv],一打,
a fraction of,[ə ˈfrækʃən əv],一部分,"When researchers look really carefully at the DNA in Chromosomes though, they were amazed, we all were, to find that only a fraction of it, maybe 20-30%, converts into meaningful genetic information"
a great deal of,[ə greɪt dil əv],大量,"[E] It is now believed that the process of colonization required a great deal of skill,  determination, and planning and could not have happened by chance"
a handful of,[ə ˈhændˌfʊl əv],火少数；一小撮,"Exhibitors, however, wanted to maximize their profits, which they could do more readily by projecting a handful of films to hundreds of customers at a time (rather than one at a time) and by charging 25 to 50 cents admission"
a host of,[ə hoʊst əv],许多；大量,Yet this most fundamental standard of historical periodization conceals a host of paradoxes
a large number of,[ə lɑrʤ ˈnəmbər əv],大量的,It allows researchers to observe the growth of a large number of plants simultaneously
a large proportion of,[ə lɑrʤ prəˈpɔrʃən əv],大部分的,"Although a small proportion of the total population, this perhaps had a massive local impact when a large proportion of the young men were removed from an area"
a large quantity of,[ə lɑrʤ kˈwɑntəti əv], 大量的,This topic asks you to assess the value of the access to a large quantity of information that the Internet provides us with these days
a majority of,[ə məˈʤɔrəti əv],大多数的；大部分的,"A maritime code known as the Consulate of the Sea, which originated in the western Mediterranean region in the fourteenth century, won acceptance by a majority of sea goers as the normative code for maritime conduct; it defined such matters as the authority of a ship's officers, protocols of command, pay structures, the rights of sailors, and the rules of engagement when ships met one another on the sea-lanes"
a mass of,[ə mæs əv],大量的,"So, well, the echoes from a tree are going to a mass of chaotic acoustic reflections, right, not like the echo from a moth"
a mix of,[ə mɪks əv],......的混合,"Youremember those criteria we discussed last week? Anyway, this explains why most marketers today rely on a mix of congruent and incongruent media"
a multitude of,[ə ˈməltəˌtud əv],许多；大量,"Because the medium was so prolific, in the sense that it was possible to produce a multitude of images very cheaply, it was soon treated as the poor relation of fine art, rather than its destined successor"
a portion of,[ə ˈpɔrʃən əv],......的一部分,"In fact, franchise owners have to pay a portion of their income to the parent company in return for advertising services"
a range of,[ə reɪnʤ əv],一系列；一些；一套,"The Chinese themselves adapted many specific vessel forms from the West, such as bottles with long spouts, and designed a range of decorative patterns especially for the European market"
a sense of,[ə sɛns əv],一种......的感党,"The  traditional encyclopedia provides a considered view of what topics to include or exclude and  contains a sense of proportion that on line ""democratic"" communal encyclopedias do not"
a series of,[ə ˈsɪriz əv],一系列,"Within a few weeks in 1609 and 1610 , he made a series of astron omical discoveries that marked a new era in astronomy"
